city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
New York,New York,NY,New York,36061,New York,40.6943,-73.9249,18713220
Los Angeles,Los Angeles,CA,California,6037,Los Angeles,34.1139,-118.4068,12750807
Chicago,Chicago,IL,Illinois,17031,Cook,41.8373,-87.6862,8604203
Miami,Miami,FL,Florida,12086,Miami-Dade,25.7839,-80.2102,6445545
Dallas,Dallas,TX,Texas,48113,Dallas,32.7936,-96.7662,5743938
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5649300
Houston,Houston,TX,Texas,48201,Harris,29.7863,-95.3889,5464251
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7627,-84.4224,5449398
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5379184
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0846,4688346
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0891,4219697
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,3789215
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7562,-122.443,3592294
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3506126
San Diego,San Diego,CA,California,6073,San Diego,32.8312,-117.1225,3220118
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2977172
Tampa,Tampa,FL,Florida,12057,Hillsborough,27.9942,-82.4451,2908063
Denver,Denver,CO,Colorado,8031,Denver,39.7621,-104.8759,2876625
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2559903
Queens,Queens,NY,New York,36081,Queens,40.7498,-73.7976,2230722
Riverside,Riverside,CA,California,6065,Riverside,33.9381,-117.3948,2107852
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2106068
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,2104198
Portland,Portland,OR,Oregon,41051,Multnomah,45.5372,-122.65,2074775
San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4658,-98.5253,2049293
St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6358,-90.2451,2024074
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5667,-121.4683,1898019
Orlando,Orlando,FL,Florida,12095,Orange,28.4772,-81.3369,1822394
San Jose,San Jose,CA,California,6085,Santa Clara,37.3019,-121.8486,1798103
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4767,-81.6804,1710093
