City,Code,Keyword,Flag
New York,NY,hotel with spa,1
New York,NY,hotels with balcony,1
New York,NY,hotel with pool,1
New York,NY,hotel with jacuzzi in room,1
New York,NY,hotels with a view,1
New York,NY,hotel with kitchen,1
New York,NY,hotel with waterpark,1
New York,NY,hotel with smoking rooms,1
New York,NY,Hotel with Sauna,1
New York,NY,Hotel with Gym,1
New York,NY,Hotel with Tennis,1
New York,NY,hotels with free parking,1
New York,NY,hotels with penthouses,1
New York,NY,hotels with 2 bedroom suites,1
New York,NY,5 star hotels,1
New York,NY,pet friendly hotels,1
New York,NY,hotels with tennis courts,1
New York,NY,cheap hotels in,1
Los Angeles,CA,hotel with spa,1
Los Angeles,CA,hotels with balcony,1
Los Angeles,CA,hotel with pool,1
Los Angeles,CA,hotel with jacuzzi in room,1
Los Angeles,CA,hotels with a view,1
Los Angeles,CA,hotel with kitchen,1
Los Angeles,CA,hotel with waterpark,1
Los Angeles,CA,hotel with smoking rooms,1
Los Angeles,CA,Hotel with Sauna,1
Los Angeles,CA,Hotel with Gym,1
Los Angeles,CA,Hotel with Tennis,1
Los Angeles,CA,hotels with free parking,1
Los Angeles,CA,hotels with penthouses,1
Los Angeles,CA,hotels with 2 bedroom suites,1
Los Angeles,CA,5 star hotels,1
Los Angeles,CA,pet friendly hotels,1
Los Angeles,CA,hotels with tennis courts,1
Los Angeles,CA,cheap hotels in,1
Chicago,IL,hotel with spa,1
Chicago,IL,hotels with balcony,1
Chicago,IL,hotel with pool,1
Chicago,IL,hotel with jacuzzi in room,1
Chicago,IL,hotels with a view,1
Chicago,IL,hotel with kitchen,1
Chicago,IL,hotel with waterpark,1
Chicago,IL,hotel with smoking rooms,1
Chicago,IL,Hotel with Sauna,1
Chicago,IL,Hotel with Gym,1
Chicago,IL,Hotel with Tennis,1
Chicago,IL,hotels with free parking,1
Chicago,IL,hotels with penthouses,1
Chicago,IL,hotels with 2 bedroom suites,1
Chicago,IL,5 star hotels,1
Chicago,IL,pet friendly hotels,1
Chicago,IL,hotels with tennis courts,1
Chicago,IL,cheap hotels in,1
Miami,FL,hotel with spa,1
Miami,FL,hotels with balcony,1
Miami,FL,hotel with pool,1
Miami,FL,hotel with jacuzzi in room,1
Miami,FL,hotels with a view,1
Miami,FL,hotel with kitchen,1
Miami,FL,hotel with waterpark,1
Miami,FL,hotel with smoking rooms,1
Miami,FL,Hotel with Sauna,1
Miami,FL,Hotel with Gym,1
Miami,FL,Hotel with Tennis,1
Miami,FL,hotels with free parking,1
Miami,FL,hotels with penthouses,1
Miami,FL,hotels with 2 bedroom suites,1
Miami,FL,5 star hotels,1
Miami,FL,pet friendly hotels,1
Miami,FL,hotels with tennis courts,1
Miami,FL,cheap hotels in,1
Dallas,TX,hotel with spa,1
Dallas,TX,hotels with balcony,1
Dallas,TX,hotel with pool,1
Dallas,TX,hotel with jacuzzi in room,1
Dallas,TX,hotels with a view,1
Dallas,TX,hotel with kitchen,1
Dallas,TX,hotel with waterpark,1
Dallas,TX,hotel with smoking rooms,1
Dallas,TX,Hotel with Sauna,1
Dallas,TX,Hotel with Gym,1
Dallas,TX,Hotel with Tennis,1
Dallas,TX,hotels with free parking,1
Dallas,TX,hotels with penthouses,1
Dallas,TX,hotels with 2 bedroom suites,1
Dallas,TX,5 star hotels,1
Dallas,TX,pet friendly hotels,1
Dallas,TX,hotels with tennis courts,1
Dallas,TX,cheap hotels in,1
Philadelphia,PA,hotel with spa,1
Philadelphia,PA,hotels with balcony,1
Philadelphia,PA,hotel with pool,1
